"nx_goods_id"	"nx_goods_name"	"nx_goods_standardname"	"nx_goods_father_id"	"sku_stored_grand_id"	"sku_should_grand_id"	"sku_stored_gg_id"	"sku_should_gg_id"
"100757"	"锅包肉"	"袋"	"10716"	"1202"		"12"	
"100759"	"裱花袋"	"包"	"10717"	"703"		"7"	
"100763"	"岳川红油豆瓣酱"	"桶"	"10436"	"303"		"3"	
"100764"	"陈皮"	"斤"	"10719"	"305"		"3"	
"100765"	"丹丹红油豆瓣酱"	"桶"	"10436"	"303"		"3"	
"100766"	"紫米"	"斤"	"10720"	"903"		"9"	
"100768"	"八宝米"	"斤"	"10721"	"903"		"9"	
"100769"	"订书机"	"个"	"10722"	"707"		"7"	
"100770"	"干贝"	"斤"	"10723"	"506"		"5"	
"100771"	"金华火腿"	"块"	"10724"	"606"		"6"	
"100773"	"干锅酱"	"瓶"	"10726"	"303"		"3"	
